overallNo;noInSeason;title;directedBy;writtenBy;originalAirDate;prodCode;usViewersInMillions
1;1;Simpsons Roasting on an Open Fire;David Silverman;Mimi Pond;December 17, 1989;7G08;26.7
2;2;Bart the Genius;David Silverman;Jon Vitti;January 14, 1990;7G02;24.5
3;3;Homer's Odyssey;Wesley Archer;Jay Kogen & Wallace Wolodarsky;January 21, 1990;7G03;27.5
4;4;There's No Disgrace Like Home;Gregg Vanzo & Kent Butterworth;Al Jean & Mike Reiss;January 28, 1990;7G04;20.2
5;5;Bart the General;David Silverman;John Swartzwelder;February 4, 1990;7G05;27.1
6;6;Moaning Lisa;Wesley Archer;Al Jean & Mike Reiss;February 11, 1990;7G06;27.4
7;7;The Call of the Simpsons;Wesley Archer;John Swartzwelder;February 18, 1990;7G09;27.6
8;8;The Telltale Head;Rich Moore;Al Jean, Mike Reiss, Sam Simon & Matt Groening;February 25, 1990;7G07;28
9;9;Life on the Fast Lane;David Silverman;John Swartzwelder;March 18, 1990;7G11;33.5
10;10;Homer's Night Out;Rich Moore;Jon Vitti;March 25, 1990;7G10;30.3
11;11;The Crepes of Wrath;Wesley Archer & Milton Gray;George Meyer, Sam Simon, John Swartzwelder & Jon Vitti;April 15, 1990;7G13;31.2
12;12;Krusty Gets Busted;Brad Bird;Jay Kogen & Wallace Wolodarsky;April 29, 1990;7G12;30.4
13;13;Some Enchanted Evening;David Silverman & Kent Butterworth;Matt Groening & Sam Simon;May 13, 1990;7G01;27.1
14;1;"Bart Gets an ""F"""; David Silverman;David M. Stern;October 11, 1990;7F03;33.6
15;2;Simpson and Delilah;Rich Moore;Jon Vitti;October 18, 1990;7F02;29.9
16;3;Treehouse of Horror;Wes Archer;Rich Moore & David Silverman & John Swartzwelder & Jay Kogen & Wallace Wolodarsky & Edgar Allan Poe & Sam Simon;October 25, 1990;7F04;27.4
17;4;Two Cars in Every Garage and Three Eyes on Every Fish;Wes Archer;Sam Simon & John Swartzwelder;November 1, 1990;7F01;26.1
18;5;Dancin' Homer;Mark Kirkland;Ken Levine & David Isaacs;November 8, 1990;7F05;26.1
19;6;Dead Putting Society;Rich Moore;Jeff Martin;November 15, 1990;7F08;25.4
20;7;Bart vs. Thanksgiving;David Silverman;George Meyer;November 22, 1990;7F07;25.9
21;8;Bart the Daredevil;Wesley Meyer Archer;Jay Kogen & Wallace Wolodarsky;December 6, 1990;7F06;26.2
22;9;Itchy & Scratchy & Marge;Jim Reardon;John Swartzwelder;December 20, 1990;7F09;22.2
23;10;Bart Gets Hit by a Car;Mark Kirkland;John Swartzwelder;January 10, 1991;7F10;24.8
24;11;One Fish, Two Fish, Blowfish, Blue Fish;Wesley M. Archer;Nell Scovell;January 24, 1991;7F11;24.2
25;12;The Way We Was;David Silverman;Al Jean & Mike Reiss and Sam Simon;January 31, 1991;7F12;26.8
26;13;Homer vs. Lisa and the 8th Commandment;Rich Moore;Steve Pepoon;February 7, 1991;7F13;26.2
27;14;Principal Charming;Mark Kirkland;David M. Stern;February 14, 1991;7F15;23.9
28;15;Oh Brother, Where Art Thou?;"W.M. ""Bud"" Archer";Jeff Martin;February 21, 1991;7F16;26.8
29;16;"Bart's Dog Gets an ""F""";Jim Reardon;Jon Vitti;March 7, 1991;7F14;23.9
30;17;Old Money;David Silverman;Jay Kogen & Wallace Wolodarsky;March 28, 1991;7F17;21.2
31;18;Brush with Greatness;Jim Reardon;Brian K. Roberts;April 11, 1991;7F18;20.6
32;19;Lisa's Substitute;Rich Moore;Jon Vitti;April 25, 1991;7F19;17.7
33;20;The War of the Simpsons;Mark Kirkland;John Swartzwelder;May 2, 1991;7F20;19.7
34;21;Three Men and a Comic Book;Wes M. Archer;Jeff Martin;May 9, 1991;7F21;21
35;22;Blood Feud;David Silverman;George Meyer;July 11, 1991;7F22;17.3
36;1;Stark Raving Dad;Rich Moore;Al Jean & Mike Reiss;September 19, 1991;7F24;22.9
37;2;Mr. Lisa Goes to Washington;Wes Archer;George Meyer;September 26, 1991;8F01;20.2
38;3;When Flanders Failed;Jim Reardon;Jon Vitti;October 3, 1991;7F23;22.8
